Iteration;real reward;Average (50 iters);Std;Niederwert;Hochwert
349;9.663158043;1.087864144;6.619375217;-5.531511074;7.707239361
350;-6.240017355;1.878686455;6.796318537;-4.917632082;8.675004992
351;-9.639729099;2.790620374;6.954522592;-4.163902218;9.745142965
352;-28.06610076;3.346316917;7.107904981;-3.761588064;10.4542219
353;-7.065093095;3.466102184;7.236964998;-3.770862814;10.70306718
354;4.668036524;4.300113485;7.34424877;-3.044135285;11.64436225
355;-3.055074082;4.416567545;7.435662082;-3.019094537;11.85222963
356;16.28513819;5.26873072;7.504088214;-2.235357495;12.77281893
357;22.74489036;5.262502782;7.532926016;-2.270423234;12.7954288
358;21.34868208;5.493498546;7.545151093;-2.051652547;13.03864964
359;30.24521584;5.751428878;7.539824162;-1.788395284;13.29125304
360;-17.90048045;6.468509762;7.494022226;-1.025512464;13.96253199
361;16.9643015;7.31670689;7.442838163;-0.126131272;14.75954505
362;2.980661331;8.019709543;7.358103324;0.661606219;15.37781287
363;-8.36231003;8.036890391;7.249503556;0.787386835;15.28639395
364;27.97193071;8.371485321;7.119516633;1.251968688;15.49100195
365;25.16636687;9.265691188;6.957069584;2.308621604;16.22276077
366;38.64133146;10.32360479;6.781118838;3.542485948;17.10472362
367;19.97555369;10.59758836;6.596593911;4.000994449;17.19418227
368;28.96302799;11.3375987;6.404352424;4.933246278;17.74195113
369;28.28485048;11.93269652;6.213361232;5.719335287;18.14605775
370;16.97871796;12.63781652;6.039141809;6.598674707;18.67695832
371;-7.365473792;13.0988609;5.840287927;7.258572973;18.93914883
372;39.82744158;13.93135488;5.617474077;8.313880808;19.54882896
373;19.45761057;14.37521807;5.403131111;8.972086963;19.77834918
374;-0.463183836;15.47520862;5.193216255;10.28199237;20.66842488
375;31.35616568;15.45982777;4.966388678;10.49343909;20.42621645
376;26.38748336;15.44249974;4.743080993;10.69941874;20.18558073
377;26.68247577;16.37425817;4.537591111;11.83666706;20.91184928
378;-8.176019034;16.88963288;4.338326834;12.55130605;21.22795971
379;19.28103797;16.9216606;4.126584817;12.79507579;21.04824542
380;6.249578628;17.37295987;3.934059458;13.43890041;21.30701932
381;32.86953758;17.80121499;3.730724564;14.07049042;21.53193955
382;-22.76801931;17.24912778;3.550672065;13.69845572;20.79979985
383;20.22702291;16.94581646;3.351182644;13.59463382;20.29699911
384;9.811660671;17.17294626;3.142952792;14.02999347;20.31589905
385;33.45844402;16.18840696;2.925221187;13.26318577;19.11362814
386;38.27970942;17.18002556;2.72421;14.45581556;19.90423556
387;40.07255164;16.66808174;2.54987539;14.11820635;19.21795713
388;-9.000392298;16.8190722;2.410548281;14.40852391;19.22962048
389;9.158587508;17.3680906;2.254201657;15.11388894;19.62229226
390;31.32061187;16.48183278;2.094683593;14.38714919;18.57651637
391;29.25699519;16.32494843;1.969661683;14.35528675;18.29461011
392;3.248787666;15.52873914;1.88821785;13.64052129;17.41695699
393;35.95505484;15.64441691;1.806792673;13.83762424;17.45120959
394;34.35551118;15.73941604;1.753002816;13.98641322;17.49241886
395;35.14667763;15.38989347;1.733493228;13.65640024;17.1233867
396;16.34652629;14.8149223;1.730832995;13.0840893;16.54575529
397;17.74409209;15.14309452;1.728277934;13.41481659;16.87137246
398;11.29614979;14.56725955;1.737432109;12.82982744;16.30469166
399;38.66595596;14.75827014;1.750000576;13.00826957;16.50827072
400;8.878734598;14.57336407;1.760869936;12.81249413;16.334234
401;-7.123747106;13.4457743;1.760706503;11.6850678;15.20648081
